Divison,Police Station,Date of Occurrence of the Mugging Incident  (YY/MM/DD),Time of Occurrence,Month,Day,Time,Place of Occurrence of the mugging incident,The way in which mugging was done and property looted,Type of Place,Latitude,Longitute,Date of Report,Victim's Gender,Victim's AGE ,"Type of the 
Vehicle used by the assailants
( 2/3/4 wheeler/Walk)",Vehicle model as identified by the Victim,Vehicle Colour as reported by the victim,Vehicle Number as reported by the victim,Whether CC TV Footage is available ? (Yes/No),Whether the accused was wearing a Helmet or not (Yes/No),Whether the FIR has been Detected/ Undetected ?,,,
NORTH EAST,Kodigehalli,31.12.2014,11:00:15,December,Wednesday,09:00-12:00,"Opp #65, 6th Cross, Sir M.V Layout, Thindlu, Bangalore",Snatching by walk & escaping with bike,In-front of Victims house,13.07100003,77.57126983,31.12.2014,Female,55,2 Wheeler,Bajaj Pulsar,Black,No,NO,Yes,Undetected,,,
NORTH EAST,Amruthahally,05.01.2015,07:50:00,January,Thursday,06:00-09:00,"I/F house no-57, 4th Cross, Bhuvaneshwari Nagar Dasarahalli Main road, Bangalore",Snatching by walk & escaping with bike,In-front of Victims house,13.05797933,77.60225068,05.01.2015,Female,36,2 Wheeler,Bajaj Pulsar,No,No,No,Yes,Undetected,,,
NORTH EAST,Yelahanka New Town,02.02.2015,19:00:00,January,Monday,18:00-21:00,"2ND CROSS, AKSHAYA NAGAR, ATTURU LAYOUT, YELAHANKA, NEW TOWN, Bengaluru",Snatching while on the move (Accused on bike) from back,On Side Road,13.09902061,77.56433855,02.02.2015,Female,42,2 Wheeler,Bajaj Pulsar,Black,KA-08-Q-5226,No,Yes,Detected,,,
NORTH EAST,Yelahanka,14.03.2015,06:30:00,January,Wednesday,06:00-09:00,"11th main, 11th cross, I/F # No.1111,  Judicial layout, Yelahanka, Bengaluru",Snatching while on the move (Accused on bike) from front,On Side Road,13.084912,77.584827,14.03.2015,Female,65,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
NORTH EAST,Kodigehalli,19.03.2015,07:15:00,January,Friday,06:00-09:00,"In Front of House No-242, F Block, Sahakaranagar, Bengaluru",Snatching while on the move (Accused on bike) from back,In-front of Victims house,13.06304083,77.58012147,19.03.2015,Female,82,2 Wheeler,Bajaj Pulsar,Black,No,NO,Yes,Undetected,,,
NORTH EAST,Kodigehalli,22.03.2015,13:20:00,January,Tuesday,18:00-21:00,"Bhadrappa Layout Ring Road Bus Stop, Beside Flyovr, I/F Big Bazar, Ring Road, Bengaluru",Accused was on foot,On a main road,13.04722226,77.57448317,22.03.2015,Female,25,By Walk,No,No,No,NO,No,Detected,,,
NORTH EAST,Kodigehalli,31.03.2015,17:15:00,January,Monday,18:00-21:00,"Opp No-1192, SLV Devalapars, 19th Main, Sahakaranagar, Bengaluru",Snatching while on the move (Accused on bike) from front,On a main road,13.0665333,77.58413664,31.03.2015,Female,65,2 Wheeler,Bajaj Pulsar,Black,No,NO,Yes,Undetected,,,
NORTH EAST,Yelahanka,12.04.2015,06:00:00,February,Saturday,06:00-09:00,"I/F No.73, 21th Cross, 16th Main, Judicial, Layout,
Yelahanka, Bengaluru",Attention diversion by indulging in small talk,In-front of Victims house,13.086261,77.583947,12.04.2015,Female,60,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
NORTH EAST,Yelahanka,15.05.2015,21:30:00,February,Thursday,18:00-21:00,"I/F Manjunatha House, 1st Main, 5th Crpss, Suggatta
Road, Hunasamaranahalli, Yalahanka, Bengaluru",Snatching while on the move (Accused on bike) from front,On a main road,13.143053,77.62911,15.05.2015,Female,45,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
NORTH EAST,Kodigehalli,26.05.2015,11:00:00,March,Sunday,09:00-12:00,"No-1132, DTDC Courier Office, A Block, Sahakaranagar, Bengaluru",Attention diversion by indulging in small talk,In-front of Victims house,13.06245136,77.58779718,26.05.2015,Female,40,2 Wheeler,Bajaj Pulsar,Blue,No,NO,Yes,Undetected,,,
NORTH EAST,Yelahanka,25.05.2015,19:30:00,March,Wednesday,18:00-21:00,"I/F Kavitha House, 17th Main, 23 Cross, Judicial Layout,
Yelahanka, Bengaluru",Snatching while on the move (Accused on bike) from front,In-front of Victims house,13.088434,77.581995,25.05.2015,Female,60,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
NORTH EAST,Yelahanka,10.06.2015,21:00:00,June ,Wednesday,18:00-21:00,6th Cross 1st Main Prakruthi Nagar Yelahanka Bangalore ,Attention diversion by indulging in small talk,In-front of Victims house,13.086261,77.583947,10.06.2015,Female,33,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
SOUTH,Basavanagudi PS,08.06.2014,4:45:00,June,sunday,03:00-06:00,"Near Pizza Hut Bus Stop, Bull Temple Road, Basavanagudi, Bangalore city",Attention diversion by indulging in small talk,On a main road,12.564998,77.34412,06.08.2014,Female,63,2 Wheeler,Bajaj Pulsar,No,No,No,No,Detected,,,
SOUTH,Basavanagudi PS,08.06.2014,4:45:00,June,sunday,03:00-06:00,"Near Pizza Hut Bus Stop, Bull Temple Road, Basavanagudi, Bangalore city",Attention diversion by indulging in small talk,On a main road,12.564998,77.34412,06.08.2014,Female,63,2 Wheeler,Bajaj Pulsar,No,No,No ,No ,Detected,,,
SOUTH,Siddapura PS,03.06.2014,17:30:00,June,Tuesday,15:00-18:00,"BETWEEN RANI SARALA DEVI COLLEGE & E-ZONE SHOP, 6TH CROSS.
JAYANAGARA 1ST BLOCK, Bangalore c",Snatching while on the move (Accused on bike) from back,On side road,12.93967904,77.585165,03.06.2014,Female,55,2 Wheeler,Honda activa,white,KA-05-HV-4325,no,yes,Detected,,,
SOUTH,Siddapura PS,08.06.2014,5:50:00,June,Sunday,03:00-06:00,"5TH CROSS CORNER 7TH MAIN 2ND BLOCK, JAYANAGAR 2ND BLOCK,
Bangalore city",Snatching while on the move (Accused on bike) from front,On side road,12.93967904,77.58181537,08.06.2014,Female,75,2 Wheeler,BAJAJ DISCOVER,Black ,"AP-04-AK-4497
",no,yes,Detected,,,
SOUTH,Banashankari PS,13.07.2014,13:15:00,July,Sunday,12:00-15:00,"Infront of House No 606, 10th Cross, K R Road,, Jayanagara 7th Block west,
Bangalore",Snatching while on the move (Accused on bike) from back,In-front of Victims house,12.552947,77.34262,13.07.2014,Female,73,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Chamarajpet PS,27.07.2014,20:20:00,July,Sunday,18:00-21:00,"1st cross, Azad nagar, near Azadnagar Park Circle, Chamarajpet, Bangalore",Snatching by walk & escaping with bike,"Near a Park, Walking route",12.95892005,77.55786914,27.07.2014,Female,29,2 Wheeler,Bajaj Pulsar,Black ,No,No,Yes,Detected,,,
SOUTH,Chamarajpet PS,27.07.2014,20:20:00,July,Sunday,18:00-21:00,"1st cross, Azad nagar, near Azadnagar Park Circle, Chamarajpet, Bangalore",Snatching by walk & escaping with bike,"Near a Park, Walking route",12.95892005,77.55786914,27.07.2014,Female,29,2 Wheeler,Bajaj Pulsar,Black ,No,Yes,Yes,Detected,,,
SOUTH,Jayaprakash Nagar PS,13.07.2014,11:00:00,July,Sunday,09:00-12:00,"In front of House No-8 'A', 6th 'B' MAin, 11th Cross, 3rd Phase J.P.Nagar,
Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,12.90952,77.5872526,13.07.2014,Female,67,2 Wheeler,Bajaj Pulsar,No,No,No,No,Detected,,,
SOUTH,Jayaprakash Nagar PS,13.07.2014,11:00:00,July,Sunday,09:00-12:00,"In front of House No-8 'A', 6th 'B' MAin, 11th Cross, 3rd Phase J.P.Nagar,
Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,12.9145645,77.579494,21.07.2014,Female,70,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Jayaprakash Nagar PS,15.07.2014,6:30:00,July,Tuesday,06:00-09:00,"Infront of no.01, 2nd Cross, Aryanagara, Vyshya Bank colony, Bangalore",Snatching while on the move (Accused on bike) from back,In-front of Victims house,12.9145645,77.579494,21.07.2014,Female,70,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Kumaraswamy Layout PS,15.07.2014,7:00:00,September,Tuesday,06:00-09:00,"In Front of No 3023 House, 6th Main, 5th Cross, K.S.Lay out 1st Stage, Bangalore
city",Snatching by walk & escaping with bike,In-front of Victims house,12.9480298,77.6244614,15.07.2014,Male,50,By Walk,NO,No,No,No,No,Undetected,,,
SOUTH,Siddapura PS,25.07.2014,17:45:00,July,Friday,15:00-18:00,"5TH CROSS. 9TH MAIN TOWARDS 8TH MAIN., JAYANAGARA 2ND BLOCK,
Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.913928,77.592433,26.07.2014,Female,59,2 Wheeler,Honda activa,WHITE,KA-05-HV-4325,no,YES,Detected,,,
SOUTH,Jayanagar PS,26.07.2014,16:15:00,September,saturday,15:00-18:00,"NEAR BHAVANI SHANKAR TEMPLE, ELEPHANT RACK ROAD, 3RD BLOCK
JAYANAGARA, Bangalore",Snatching while on the move (Accused on bike) from back,"Near Temples, Masque, Church Etc",12.932946,77.583869,26.07.2014,Female,28,2 Wheeler,Honda activa,Grey,KA-05 HV-4325,NO,NO,Detected,,,
SOUTH,Channammanakere Achu Kattu PS,13.08.2014,15:00:00,August,Wednesday,15:00-18:00,"NEAR DURVA GANAPATHI TEMPLE, VIDYAPEETA MAIN ROAD, BSK 3RD
STAGE, Bangalore",Snatching with assault,"Near Temples, Masque, Church Etc",12.92986613,77.88877089,13.08.2014,Female,50,3 Wheeler,Auto Rikshaw,No,No,No,No,Undetected,,,
SOUTH,Channammanakere Achu Kattu PS,22.08.2014,21:30:00,August,Friday,21:00-00:00,"NEAR NO. 102/10A, 3RD CROSS, SRINIVASANAGAR, KATHRIGUPPE, BSK
3RD STAGE, Bangalore",Snatching while on the move (Accused on bike) from back,In-front of Victims house,12.93504409,77.5564394,22.08.2014,Female,27,2 Wheeler,Bajaj Pulsar,Black ,No,No,YES,Detected,,,
SOUTH,Hanumanthanagar PS,18.08.2014,21:30:00,August,Monday,21:00-00:00,"Near 1st Cross, 9th Main,, Bsk 1st Stage, Bangalore",Snatching while on the move (Accused on bike) from back,On a main road,12.562723,77.333515,18.08.2014,Female,52,2 Wheeler,No,No,No,No,No,Undetected,,,
SOUTH,Jayanagar PS,03.08.2014,17:00:00,August,Sunday,15:00-18:00,"16th Main, 37 F Cross Junction,, 4th T Block, Jayanagar, Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.922359,77.58884,03.08.2014,Female,60,2 Wheeler,Honda activa,Grey,KA-05 HV-4325,NO,NO,Detected,,,
SOUTH,Jayaprakash Nagar PS,23.08.2014, 13:15:00,August,saturday,12:00-15:00,"Near Empty Site, 4th Cross, 7th Main Road, 3rd Phase J.P.Nagar, Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.9090366,77.5957664,23.08.2014,Female,58,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Jayaprakash Nagar PS,23.08.2014, 13:15:00,August,saturday,12:00-15:00,"Near Empty Site, 4th Cross, 7th Main Road, 3rd Phase J.P.Nagar, Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.9020358,77.5813454,05.08.2014,Female,58,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Kumaraswamy Layout PS,04.08.2014,15:00:00,August,Monday,15:00-18:00,"In Between 46th & 45th Cross, Near Park, K.S.Lay out, Bangalore",Snatching while on the move (Accused on bike) from front,"Near a Park, Walking route",12.90985176,77.56540418,04.08.2014,Female,64,2 Wheeler,Bajaj Pulsar,Black ,3738,No,No,Undetected,,,
SOUTH,Kumaraswamy Layout PS,21.08.2014,6:15:00,August,Friday,06:00-09:00,"INFRONT OF HOUSE NO.86, 4TH CROSS, TEACHERS COLONY, K S LAY
OUT, Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,12.914869,77.567648,21.08.2014,Female,47,2 Wheeler,Bajaj Pulsar,Black ,No,No,No,Undetected,,,
SOUTH,Subramanyapura PS,06.08.2014,10:30:00,August,Wednesday,09:00-12:00,"7TH CROSS ROYAL COUNTY, J.P.NAGAR 8TH PHASE, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.85922955,77.57886227,06.08.2014,Female,52,2 Wheeler,No,Black ,No,No,Yes,Detected,,,
SOUTH,Thyagarajanagar PS,22.08.2014,21:30:00,August,saturday,21:00-00:00,"NEAR NARASIMHA SWAMY TEMPLE, 3RD BLOCK,, THYAGARAJA NAGAR,
Bangalore",Snatching while on the move (Accused on bike) from back,"Near Temples, Masque, Church Etc",12.555791,77.335886,23.08.2014,Female,60,2 Wheeler,Honda activa,No,KA-04-HN-4374,NO,NO,Detected,,,
SOUTH,Banashankari PS,28.08.2014,16:45:00,August,Thursday,15:00-18:00,"In Front Of House No-690, 21st Main,, Padmanabhanagar, Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,12.55467,77.331429,28.08.2014,Female,68,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Jayanagar PS,30.08.2014,15:10:00,August,saturday,15:00-18:00,"Near Patalamma Temple, 7th A Main Road, 3rd Block Jayangara, Bangalore",Snatching by walk & escaping with bike,"Near Temples, Masque, Church Etc",12.904814,77.58981,30.08.2014,Female,74,2 Wheeler,Honda activa,Grey,KA-05 HV-4325,NO,NO,Detected,,,
SOUTH,Jayanagar PS,30.08.2014,7:30:00,August,saturday,06:00-09:00,"Infront of House No. 304, 17th Main, 4th T Block,, Jayanagara, Bangalore",Snatching by walk & escaping with bike,In-front of Victims house,12.553144,77.352187,30.08.2014,Male,58,2 Wheeler,Honda activa,Grey,KA-05 HV-4325,NO,NO,Detected,,,
SOUTH,Kempegowda Nagar PS,14.05.2014,5:30:00,May,Wednesday,03:00-06:00,"OPP RAYARA MATTA ROAD RAGAVENDRA COLONY, CHAMARAJAPET,
Bangalore",Attention diversion by indulging in small talk,"Near Temples, Masque, Church Etc",12.94817043,77.56307104,21.08.2014,Female,46,2 Wheeler,Bajaj Pulsar,Black ,No,No,no,Undetected,,,
SOUTH,Kempegowda Nagar PS,30.08.2014,8:15:00,August,saturday,06:00-09:00,"NO.203/1, 2ND MAIN ROAD, DATTATREYA EXTENTION, KG NAGARA,
Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.95332852,77.56171377,30.08.2014,Female,45,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Kumaraswamy Layout PS,27.08.2014,15:15:00,August,Wednesday,15:00-18:00,"In Front of No 2802, 2nd Cross, 7th Main,, K.S. Lay out, Bangalore",Snatching while on the move (Accused on bike) from back,In-front of Victims house,12.90287,77.569385,27.08.2014,Female,53,2 Wheeler,Bajaj Pulsar,Black ,No,NO,No,Undetected,,,
SOUTH,Subramanyapura PS,28.08.2014,15:30:00,August,Thursday,15:00-18:00,"B.D.A LAYOUT ROAD, JP NAGAR 8TH PHASE, Bangalore",Snatching while on the move (Accused on bike) from back,On side road,12.87547634,77.57041839,28.08.2014,Female,55,2 Wheeler,No,Black ,No,No,No,Undetected,,,
SOUTH,Subramanyapura PS,29.08.2014,15:15:00,August,Friday,15:00-18:00,"IST CROSS SUMUKA LAYOUT, CHIKKALLASANDRA, Bangalore",Snatching while on the move (Accused on bike) from back,On side road,12.91732041,77.54714605,29.08.2014,Female,62,2 Wheeler,YAMAHA,No,No,No,No,Detected,,,
SOUTH,Jayaprakash Nagar PS,05.08.2014, 17:00:00,August,Tuesday,15:00-18:00,"18th Cross, Near Sri. Anjaneya temple, Puttenahalli, Mainroad, K R Layout, 6th ph J P Nagara, Bangalore city",Snatching while on the move (Accused on bike) from back,On Side Road,12.9020358,77.5813454,05.08.2014,Female,58,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Hanumanthanagar PS,29.08.2014,15:00:00,August,Friday,15:00-18:00,"Vinayaka Store,4th Cross, 2nd 'A' Main, Vinayakanagar, Bangalore",Snatching while on the move (Accused on bike) from back,On side road,12.56889,77.333452,29.08.2014,Female,47,2 Wheeler,Bajaj Pulsar,Black ,No,No,No,Detected,,,
SOUTH,Basavanagudi PS,22.09.2014,18:25:00,September,Monday,18:00-21:00,"Near Basavangudi Post office. Krishna road, Basavanagudi, Bangalore",Snatching by walk & escaping with bike,On a main road,12.56404,77.343411,22.09.2014,Female,47,2 Wheeler,No,Black ,No,No,No,Undetected,,,
SOUTH,Channammanakere Achu Kattu PS,07.09.2014,14:30:00,September,sunday,12:00-15:00,"NO-386,5TH MAIN,NEAR KATRIGUPPE WATER TANK PARK, BSK 3RD
STAGE, Bangalore",Snatching while on the move (Accused on bike) from back,In-front of Victims house,12.93089816,77.54744682,07.09.2014,Female,35,2 Wheeler,Bajaj Pulsar,Black ,No,No,YES,Undetected,,,
SOUTH,Channammanakere Achu Kattu PS,09.09.2014,15:30:00,September,Tuesday,15:00-18:00,"NEAR OM SHAKTI TEMPALE ROAD BALAJI NAGAR ITTAMADU, BSK 3RD
STAGE, Bangalore",Snatching by walk & escaping with bike,On Side Road,12.92004927,77.54502608,09.09.2014,Female,62,2 Wheeler,Bajaj Pulsar,Black ,No,No,YES,Undetected,,,
SOUTH,Channammanakere Achu Kattu PS,10.05.2014,19:00:00,May,saturday,18:00-21:00,"5TH MAIN, 2ND BLOCK,,
 BSK 3RD STAGE, Bangalore",Snatching while on the move (Accused on bike) from front,On a main road,12.92806789,77.54939448,16.09.2014,Female,56,2 Wheeler,Bajaj Pulsar,Black ,No,No,YES,Undetected,,,
SOUTH,Girinagar PS,09.09.2014,15:50:00,September,Tuesday,15:00-18:00,"No.30, 2ND CROSS, ESHWARI NAGAR, HOSAKEREHALLY, BSK 3RD STAGE,
Bangalore",Attention diversion by indulging in small talk,On side road,12.554148,77.321915,09.09.2014,Female,45,2 Wheeler,Bajaj Pulsar,Black ,No,No,No,Undetected,,,
SOUTH,Girinagar PS,09.09.2014,16:15:00,September,Tuesday,15:00-18:00,"GANESHA STORE, CHURCH ROAD, Veerabhdranagar, BSK 3rd Stage,
Bangalore",Attention diversion by indulging in small talk,Other Places,12.560791,77.321134,09.09.2014,Female,45,2 Wheeler,No,Black ,No,No,No,Detected,,,
SOUTH,Girinagar PS,09.09.2014,16:30:00,September,Tuesday,15:00-18:00,"ON ROAD, OPP TO KAMATH CAR SERVICE STATION, GIRINAGAR TEMPLE
STREET, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.563243,77.325147,09.09.2014,Female,58,2 Wheeler,No,Black ,No,Yes,Yes,Undetected,,,
SOUTH,Girinagar PS,09.09.2014,15:00:00,September,Tuesday,15:00-18:00,"Infront of Little Flower School, 100 Ft. Ring Road, Hosakerehally, BSK 3rd Stage,
Bangalore city",Snatching by walk & escaping with bike,On Side Road,12.555045,77.322654,09.09.2014,Female,64,2 Wheeler,Bajaj Pulsar,Black ,No,Yes,No,Detected,,,
SOUTH,Jayaprakash Nagar PS,04.09.2014,17:30:00,September,Thursday,15:00-18:00,"Opp. Laxmi Vilas ATM, Near Vivekananda Trust,, 4th Crossroad, Dollors colony,
4th phase J P Nagar, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.9038654,77.5967175,04.09.2014,Female,36,2 Wheeler,Bajaj Pulsar,No,No,No,No,Detected,,,
SOUTH,Kempegowda Nagar PS,09.09.2014,17:00:00,September,Tuesday,15:00-18:00,"4TH MAIN, BASAPPA 
LAYOUT, GAVIPURAM, Bangalore",Snatching while on the move (Accused on bike) from front,On a main road,12.9481704,77.56307101,09.09.2015,Female,61,2 Wheeler,No,No,No,No,No,Undetected,,,
SOUTH,Subramanyapura PS,09.09.2014,13:45:00,September,Tuesday,12:00-15:00,"INFRONT OF H.NO.26 11TH A CROSS 9TH MAIN, SHREYAS COLONY
J.P.NAGAR 7TH PHASE, Bangalore",Snatching while on the move (Accused on bike) from back,In-front of Victims house,12.8741077,77.5791729,09.09.2014,Female,33,2 Wheeler,Bajaj Pulsar,Black ,No,No,Yes,Undetected,,,
SOUTH,Thyagarajanagar PS,12.09.2014,6:30:00,September,Friday,06:00-09:00,"INFRONT OF HOUSE NO. 118/2, SRI GANESHA MANDIRA, ROAD, 2ND
BLOCK, THYAGARAJA NAGARA, Bangalore",Snatching by walk & escaping with bike,In-front of Victims house,12.56074,77.341352,12.09.2014,Female,76,2 Wheeler,Honda activa,No,KA-04-HN-4374,NO,NO,Detected,,,
SOUTH,Jayanagar PS,26.09.2014,11:45:00,September,Friday,09:00-12:00,"INFRONT OF HOUSE NO.1401, 33RD CROSS, 14TH MAIN, 4TH T BLOCK,
JAYANAGAR,Bangalore",Snatching while on the move (Accused on bike) from front,On a main road,12.90875,77.561636,26.09.2014,Female,80,2 Wheeler,Honda activa,Grey,KA-05 HV-4325,NO,NO,Detected,,,
SOUTH,Siddapura PS,02.09.2014,11:50:00,September,Tuesday,09:00-12:00,"INFRONT OF THE DOOR NO 550/1. GURUTAMAN PARK, JAYANAGARA 2ND
BLOCK, Bangalore",Snatching while on the move (Accused on bike) from front,In-front of Victims house,12.93887775,77.582686,03.09.2014,Male,42,2 Wheeler,Honda activa,white,KA-05-HV-4325,no,no,Detected,,,
SOUTH,Channammanakere Achu Kattu PS,13.10.2014,9:30:00,October,Monday,09:00-12:00,"3RD CRSOSS, 5TH MAIN, C K ACHUKATTTU, BSK 3RD STAGE, Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.92859148,77.55852428,13.10.2014,Female,73,2 Wheeler,Bajaj Pulsar,Black ,No,No,YES,Detected,,,
SOUTH,Channammanakere Achu Kattu PS,13.10.2014,9:30:00,October,Monday,09:00-12:00,"3RD CRSOSS, 5TH MAIN, C K ACHUKATTTU, BSK 3RD STAGE, Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.92859148,77.55852428,13.10.2014,Female,45,2 Wheeler,Bajaj Pulsar,Black ,No,No,YES,Detected,,,
SOUTH,Jayanagar PS,11.10.2014,17:30:00,October,saturday,15:00-18:00,"Near Brundavan Park, 34th Cross, 4th Block,, Jayanagara, Bangalore city",Snatching while on the move (Accused on bike) from front,"Near a Park, Walking route",12.925513,77.5837291,11.10.2014,Female,80,2 Wheeler,No,No,No,NO,NO,Detected,,,
SOUTH,Jayanagar PS,13.10.2014,11:00:00,October,Monday,09:00-12:00,"Near Sai Kisan Appartment, 2nd Cross, Behind City, Central Library, Southend,
3rd Block Jayanagar, Bangalore",Snatching by walk & escaping with bike,On Side Road,12.935111,77.580769,13.10.2014,Female,72,2 Wheeler,No,No,No,NO,NO,Undetected,,,
SOUTH,Subramanyapura PS,09.10.2014,17:30:00,October,Thursday,15:00-18:00,"SUBBARAJU LAYOUT, NARAYANA NAGAR 3RD STAGE, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.87015516,77.57531063,10.10.2014,Female,32,2 Wheeler,No,No,No,No,No,Undetected,,,
SOUTH,Thyagarajanagar PS,16.10.2014,6:30:00,October,Thursday,06:00-09:00,"NEAR RAGHAVENDRA SWAMY TEMPLE, N R COLONY, BASAVANAGUDI,
Bangalore",Snatching by walk & escaping with bike,"Near Temples, Masque, Church Etc",12.561519,77.341563,16.10.2014,Female,60,2 Wheeler,YAMAHA,No,No,NO,NO,Detected,,,
SOUTH,Banashankari PS,14.10.2014,11:15:00,October,Tuesday,09:00-12:00,"Opp Of Saraswathi Nursing Home, Banashankari 2nd stage, Bangalore",Snatching while on the move (Accused on bike) from back,On a main road,12.554172,77.34824,20.10.2014,Female,60,2 Wheeler,No,No,No,No,No,Detected,,,
SOUTH,Basavanagudi PS,15.10.2014,6:00:00,October,Wednesday,06:00-09:00,"3rd Main Road, opp SBM bank ,Tata silk form., Basavanagudi, Bangalore",Snatching while on the move (Accused on bike) from back,On a main road,12.561192,77.343135,15.10.2014,Female,65,2 Wheeler,Bajaj Pulsar,Black ,KA05EV4103,No,No,Detected,,,
SOUTH,Basavanagudi PS,15.10.2014,6:00:00,October,Wednesday,06:00-09:00,"3rd Main Road, opp SBM bank ,Tata silk form., Basavanagudi, Bangalore",Snatching while on the move (Accused on bike) from back,On a main road,12.561192,77.343135,15.10.2014,Female,45,2 Wheeler,Bajaj Pulsar,Black ,KA05EV4103,No,No,Detected,,,
SOUTH,Channammanakere Achu Kattu PS,28.10.2014,17:50:00,October,Tuesday,15:00-18:00,"Om Shakthi temple Back side, 7 th main, 5 th cross, BSK 3RD STAGE, Bangalore",Snatching while on the move (Accused on bike) from back,"Near Temples, Masque, Church Etc",12.9322811,77.56034863,28.10.2014,Female,63,2 Wheeler,No,No,No,No,YES,Undetected,,,
SOUTH,Jayanagar PS,22.10.2014,20:20:00,October,Wednesday,18:00-21:00,"Backside Road of Corporation Bank, 9th 'A' Main, 3rd Block Jayanagar, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.555748,77.350379,22.10.2014,Female,30,By Walk,No,No,No,NO,NO,Detected,,,
SOUTH,Subramanyapura PS,14.10.2014,20:30:00,October,Tuesday,18:00-21:00,"6TH MAIN AND 6TH C.MAIN JUNCTION, GOWRAVA NAGARA, J.P.NAGARA
7TH PHASE, Bangalore",Snatching while on the move (Accused on bike) from front,On Side Road,12.88620138,77.58048334,14.10.2014,Female,33,2 Wheeler,No,No,No,No,No,Undetected,,,
SOUTH,Subramanyapura PS,25.10.2014,8:30:00,October,saturday,06:00-09:00,"7TH MAIN ROAD, 5TH CROSS, R.B.I. LAYOUT, Bangalore",Attention diversion by indulging in small talk,"Near a Park, Walking route",12.90983384,77.55743531,25.10.2014,Male,75,2 Wheeler,Vespa scooter,Blue,No,No,Yes,Detected,,,
SOUTH,Kumaraswamy Layout PS,13.10.2014,11:00:00,October,Monday,09:00-12:00,"8th Main, 1st Stage, Chandra Nagara, K.S Layout, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.917105,77.556541,13.10.2014,Female,54,2 Wheeler,Bajaj Pulsar,Black,No,No,No,Undetected,,,
SOUTH,Hanumanthanagar PS,08.11.2014,19:15:00,November,saturday,18:00-21:00,"In Front of No:507, 5th Main 2nd Cross, Bsk 1st Stage, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.563401,77.332266,08.11.2014,Female,67,2 Wheeler,No,No,No,No,no,Undetected,,,
SOUTH,Siddapura PS,04.11.2014,19:20:00,November,Tuesday,18:00-21:00,"6th cross, between  7 & 8 th main, 2nd block, jayanagar,  
Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,12.937897,77.582686,04.11.2014,Female,78,2 Wheeler,No,No,No,no,No,Undetected,,,
SOUTH,Channammanakere Achu Kattu PS,03.11.2014,18:00:00,November,Monday,18:00-21:00,"5th cross, PP Layout, BSK 3rd Stage, Bangalore ",Snatching by walk & escaping with bike,On Side Road,12.93159332,77.54876183,03.11.2014,Female,42,2 Wheeler,KINETIC HONDA,Grey,KA-03-Y-2570,No,No,Detected,,,
SOUTH,Subramanyapura PS,05.11.2014,16:30:00,November,Wednesday,15:00-18:00,"1st main, Shreyas colony, JP Nagar,7th Phase,   Bangalore",Snatching while on the move (Accused on bike) from front,In-front of Victims house,12.88328789,77.58130555,05.11.2014,Female,53,2 Wheeler,No,No,No,No,No,Undetected,,,
SOUTH,Basavanagudi PS,12.11.2014,17:00:00,November,Wednesday,15:00-18:00,"Near Mallikarjuna temple, Sannidi Road., Basavanagudi, Bangalore",Snatching while on the move (Accused on bike) from back,"Near a Park, Walking route",12.562607,77.341076,12.11.2014,Female,49,2 Wheeler,No,No,No,No,No,Undetected,,,
